Reading Code
Element 	Description
spaces or tabs 	Indentation
( ) 	Parentheses
{ } 	Curly Brackets, curly braces
[ ] 	Square Brackets
’ ’ 	Single quotes
" " 	Double quotes, typographic or curly quotes in text
`` 	Backquotes, Backtick
. 	point(numbers, versions), dot (domain names, object notation), period (finishing paragraph)
, 	comma
: 	colon
; 	semicolon
+ 	plus
- 	minus
* 	asterisk, times
/ 	division
- 	hyphendash (normal, n-dash, m, dash; also for spaces)
_ 	underscore
~ 	tilde
! 	bang, exclamation sign
@ 	at sign
# 	hash
^ 	caret
$ 	dollar sign (useful for PHP)
% 	percent (useful for module operation)
\ 	backslash (useful for paths in Windows)
& 	ampersand ((and, per se))
foo, bar, baz 	placeholders
flatcase 	myvariable
camelCase 	myVariable
snake_case 	my_variable
kebab-case 	my-variable
